lat,lon,dep,x,y,mag
40.7346667,-112.0696667,8.03,12.673516,8.030000,0.7
40.741,-112.0591667,9.52,13.700632,9.520000,0.79
40.7268333,-112.0833333,10.03,11.347138,10.030000,0.62
40.739,-112.081,8.64,11.856442,8.640000,0.3
40.7405,-112.078,8.66,12.141837,8.660000,1.41
40.7635,-112.0855,9.32,12.127138,9.320000,0.71
40.7335,-112.067,8.28,12.861954,8.280000,0.84
40.7371667,-112.0635,8.21,13.244937,8.210000,1.5
40.752,-111.9546667,5.24,22.564383,5.240000,0.65
40.7381667,-112.0598333,8.41,13.571995,8.410000,0.69
40.7361667,-112.0583333,10.1,13.642936,10.100000,1.95
40.7385,-112.0463333,10.79,14.688786,10.790000,0.56
40.7946667,-111.9913333,4.83,20.664419,4.830000,0.85
40.7466667,-112.0408333,6.65,15.353134,6.650000,0.8
40.756,-112.0861667,11.05,11.876504,11.050000,0.26
40.757,-112.1031667,6.68,10.507787,6.680000,-0.01
40.7408333,-112.0433333,8.29,14.995866,8.290000,0.86
40.74,-112.0811667,7.86,11.868878,7.860000,0.11
40.7238333,-112.0853333,10.23,11.104593,10.230000,0.38
40.7276667,-112.0781667,10.33,11.793026,10.330000,0.51
40.7371667,-112.0796667,8.16,11.917993,8.160000,1.36
40.7236667,-112.0625,9.46,12.974740,9.460000,0.03
40.7276667,-112.0428333,5.21,14.693647,5.210000,0.16
40.7285,-112.0313333,6.86,15.659484,6.860000,0.65
40.7588333,-112.0651667,8.37,13.673599,8.370000,1.03
40.7288333,-112.0725,9.79,12.288660,9.790000,0.21
40.7296667,-112.0753333,9.5,12.077839,9.500000,0.2
40.7295,-112.06,8.79,13.332183,8.790000,1.32
40.7306667,-112.0981667,5.02,10.229701,5.020000,0.59
40.7295,-112.075,7.41,12.100846,7.410000,0.35
40.81,-111.9756667,5.09,22.347999,5.090000,1.34
40.7138333,-112.0841667,10.23,10.939152,10.230000,0.52
40.7798333,-112.0691667,9.81,13.893572,9.810000,0.81
40.7461667,-112.0503333,9.58,14.560405,9.580000,0.4
40.7011667,-112.0875,10.13,10.334561,10.130000,1.07
40.7551667,-112.0823333,7.97,12.169280,7.970000,0.3
40.7293333,-112.072,8.09,12.342758,8.090000,0.54
40.7115,-112.0678333,8.42,12.219332,8.420000,0.54
40.7355,-112.0663333,8.45,12.968879,8.450000,0.21
40.7398333,-112.0753333,7.57,12.343295,7.570000,0.24
40.7325,-112.032,9.29,15.708977,9.290000,0.68
40.739,-111.9656667,3.01,21.323776,3.010000,0.7
40.711,-112.072,9.97,11.864148,9.970000,1.55
40.7271667,-112.0686667,8.78,12.559831,8.780000,0.29
40.7321667,-112.0715,8.53,12.457770,8.530000,0.65
40.7535,-112.081,9.77,12.235152,9.770000,0.63
40.7421667,-112.0455,9.03,14.852790,9.030000,0.55
40.7393333,-112.0363333,10.22,15.531339,10.220000,0.76
40.7398333,-112.0831667,9.16,11.700377,9.160000,0.19
40.7346667,-112.045,7.38,14.698280,7.380000,0.62
40.7306667,-112.0723333,9.89,12.350209,9.890000,0.32
40.727,-112.0631667,10.54,13.006989,10.540000,0.69
40.7735,-112.0898333,9.61,12.032917,9.610000,0.55
40.744,-112.0918333,5.17,11.097971,5.170000,0.3
40.739,-112.0785,8.26,12.061629,8.260000,0.61
40.7516667,-112.0786667,8.95,12.378738,8.950000,1.25
40.7625,-112.0746667,8.93,12.989840,8.930000,0.34
40.7075,-112.0688333,6.53,12.032814,6.530000,0.85
40.7343333,-112.0711667,8.14,12.541689,8.140000,0.21
40.7316667,-112.0706667,7.54,12.513119,7.540000,0.38
40.7315,-112.058,9.65,13.548543,9.650000,0.49
40.7348333,-112.0661667,8.92,12.965153,8.920000,0.1
40.7356667,-112.0701667,8.53,12.658579,8.530000,0.22
40.7323333,-112.073,7.67,12.338992,7.670000,0.14
40.8075,-111.974,5.34,22.419715,5.340000,0.96
40.8083333,-112.005,7.22,19.899114,7.220000,0.52
40.7275,-112.083,9.99,11.391913,9.990000,0.4
40.7388333,-112.0673333,9.18,12.973799,9.180000,0.46
40.7401667,-112.0656667,8.53,13.145390,8.530000,0.6
40.7285,-111.9601667,2.31,21.502655,2.310000,0.71
40.7293333,-112.0708333,9.61,12.438531,9.610000,0.73
40.7345,-112.0385,9.97,15.227508,9.970000,0.47
40.7358333,-112.0583333,8.61,13.634237,8.610000,0.75
40.7593333,-111.9793333,5.96,20.730297,5.960000,0.49
40.7301667,-112.0618333,8.77,13.199084,8.770000,0.44
