time,latitude,longitude,depth,x,mag
2020-06-14T02:21:20.670Z,40.7226667,-112.1021667,10.34,9.692230,0.79
2020-06-13T23:45:42.590Z,40.7351667,-112.0826667,9.6,11.619523,1
2020-06-13T23:45:05.470Z,40.7418333,-112.069,8.2,12.915309,0.9
2020-06-13T08:28:40.780Z,40.7646667,-111.966,6.71,21.963135,0.4
2020-06-13T04:18:50.200Z,40.755,-112.0791667,7.81,12.424761,0.12
2020-06-13T00:39:26.120Z,40.7893333,-111.9755,5.79,21.824558,0.54
2020-06-12T01:56:16.030Z,40.7325,-112.0501667,7.97,14.217655,0.54
2020-06-10T06:04:28.500Z,40.7316667,-112.0581667,7.21,13.539208,1.04
2020-06-10T03:25:15.650Z,40.7353333,-112.0515,7.26,14.182101,0.54
2020-06-10T01:50:15.460Z,40.7736667,-112.0911667,9.36,11.927894,0.95
2020-06-09T20:28:33.910Z,40.7673333,-112.0871667,9.8,12.090546,0.25
2020-06-09T18:26:42.670Z,40.7358333,-112.0586667,8.12,13.606871,0.34
2020-06-09T07:48:45.360Z,40.717,-112.0933333,11.24,10.269290,0.6
2020-06-08T19:45:20.910Z,40.7721667,-112.119,6.99,9.605572,0.54
2020-06-08T16:21:38.370Z,40.774,-112.0951667,9.23,11.608488,0.81
2020-06-07T15:11:57.090Z,40.7513333,-112.0738333,9,12.766662,1.15
2020-06-06T09:18:20.180Z,40.7355,-112.0653333,9.15,13.050961,1.01
2020-06-06T07:45:09.350Z,40.7416667,-112.0621667,10.21,13.471800,1.76
2020-06-05T23:20:18.660Z,40.7475,-112.0526667,9.06,14.403674,1.35
2020-06-05T09:22:21.770Z,40.738,-112.0461667,10.22,14.689423,1.51
2020-06-05T09:19:30.910Z,40.7283333,-112.0485,10.22,14.245816,1.07
2020-06-05T08:34:06.430Z,40.7361667,-112.0446667,10.12,14.764749,0.87
2020-06-04T12:34:05.750Z,40.755,-112.0448333,8.47,15.242119,0.9
2020-06-04T02:38:45.380Z,40.7278333,-112.0526667,4.99,13.890713,0.77
2020-06-04T02:04:24.530Z,40.7358333,-112.0523333,10.12,14.126741,1.48
2020-06-03T20:31:26.960Z,40.7296667,-112.0705,8.6,12.474594,0.53
2020-06-03T05:54:14.800Z,40.744,-112.0461667,9.71,14.845872,1.17
2020-06-03T02:09:44.580Z,40.7881667,-112.1846667,3.28,4.639627,0.32
2020-06-02T23:59:50.060Z,40.7363333,-112.0686667,9.91,12.799101,0.56
2020-06-02T22:28:16.370Z,40.7526667,-111.9585,4.02,22.267040,0.64
2020-06-01T22:28:44.030Z,40.728,-112.0821667,8.57,11.473376,-0.25
2020-06-01T13:51:49.480Z,40.7545,-112.0863333,4.16,11.823647,0.68
2020-06-01T12:59:07.680Z,40.7243333,-112.067,7.56,12.622702,0.61
2020-06-01T00:08:59.260Z,40.7428333,-111.9503333,8.28,22.682156,0.42
2020-05-31T19:56:24.340Z,40.7185,-112.0951667,9.61,10.157972,0.28
2020-05-31T11:08:45.860Z,40.752,-112.0531667,6.84,14.480016,0.77
2020-05-31T07:44:16.030Z,40.7431667,-112.0521667,8.95,14.331687,0.72
2020-05-31T00:41:46.860Z,40.7303333,-112.0431667,8.57,14.735796,1
2020-05-30T21:10:45.210Z,40.7276667,-112.0488333,9.71,14.201071,0.83
2020-05-30T17:43:38.520Z,40.7438333,-112.0428333,8.63,15.115118,0.78
2020-05-30T13:56:01.040Z,40.7363333,-112.0738333,8.65,12.375026,1.02
2020-05-30T12:24:45.880Z,40.7481667,-112.0498333,8.04,14.653600,0.56
2020-05-30T11:01:19.870Z,40.8111667,-111.9768333,8.23,22.282652,0.32
2020-05-30T09:21:28.820Z,40.8031667,-111.9775,5.16,22.020042,0.51
2020-05-30T08:22:58.560Z,40.8056667,-111.9855,4.65,21.428915,1.31
2020-05-30T00:35:25.730Z,40.735,-112.0413333,10.67,15.007960,0.17
2020-05-29T23:27:31.030Z,40.7805,-112.0411667,4.49,16.207782,1.79
2020-05-29T14:24:20.320Z,40.7645,-112.0505,12.32,15.024866,0.41
2020-05-29T07:42:24.770Z,40.7518333,-112.036,8.12,15.884477,0.14
2020-05-29T02:01:29.710Z,40.7478333,-112.0641667,8.64,13.468581,0.16
2020-05-29T01:12:27.120Z,40.8056667,-111.9821667,4.2,21.702288,0.83
2020-05-28T20:10:24.880Z,40.7421667,-112.0615,8.55,13.539567,0.73
2020-05-27T23:54:48.710Z,40.7335,-112.0963333,10.63,10.454241,0.26
2020-05-27T19:29:59.720Z,40.7836667,-111.9516667,7.92,23.632673,0.96
2020-05-27T12:20:02.600Z,40.7306667,-112.0315,10.3,15.702255,0.65
2020-05-27T05:50:18.990Z,40.7306667,-112.0308333,9.72,15.756988,0.1
2020-05-27T02:25:23.490Z,40.7375,-112.0598333,8.52,13.554599,0.7
2020-05-26T15:50:57.580Z,40.7358333,-112.0433333,9.74,14.865510,0.67
2020-05-26T13:58:41.460Z,40.7613333,-112.0925,10.76,11.496218,0.48
2020-05-26T06:09:21.710Z,40.7265,-112.0888333,10.69,10.886943,0.5
2020-05-25T16:19:00.530Z,40.769,-112.0795,10.21,12.763044,0.79
2020-05-25T08:31:26.940Z,40.771,-112.0768333,10.53,13.034042,1.14
2020-05-23T22:01:23.880Z,40.7356667,-112.089,10.29,11.112761,0.45
2020-05-23T19:34:10.980Z,40.7626667,-112.111,5.94,10.013305,-0.19
2020-05-23T09:08:09.510Z,40.7301667,-112.0756667,9.61,12.063527,0.66
2020-05-23T04:26:10.580Z,40.7971667,-111.9936667,6.11,20.538052,0.81
2020-05-23T03:48:22.370Z,40.7428333,-112.0603333,10.05,13.652717,0.14
2020-05-22T21:54:41.070Z,40.7111667,-111.9308333,7.1,23.461915,0.95
2020-05-22T13:08:10.880Z,40.693,-112.067,10.38,11.804919,0.35
2020-05-22T11:09:25.460Z,40.7285,-112.0635,8.56,13.018771,1.1
2020-05-22T08:01:54.470Z,40.7936667,-111.9898333,3.44,20.761449,0.31
2020-05-21T18:13:10.450Z,40.7413333,-112.0676667,8.83,13.011687,0.76
2020-05-21T17:47:17.300Z,40.741,-112.0683333,8.66,12.948277,1.04
2020-05-21T17:37:32.870Z,40.7386667,-112.089,8.76,11.191143,0.05
2020-05-21T17:17:25.240Z,40.738,-112.0676667,8.08,12.924684,0.7
2020-05-21T07:52:24.370Z,40.731,-112.0698333,8.86,12.564126,1.25
2020-05-21T01:50:35.210Z,40.714,-112.0635,10.54,12.640385,0.87
2020-05-20T15:16:54.920Z,40.7256667,-112.095,8.89,10.358955,0.36
2020-05-20T09:52:34.650Z,40.7558333,-111.9725,5.67,21.200172,0.84
2020-05-20T02:21:52.260Z,40.7793333,-112.076,7.88,13.320008,0
2020-05-19T20:57:55.490Z,40.7366667,-112.0643333,7.96,13.163491,0.55
2020-05-19T18:06:43.050Z,40.7666667,-112.09,9.69,11.840689,1.03
2020-05-19T16:42:10.270Z,40.7648333,-112.0901667,10.19,11.779107,0.85
2020-05-19T16:18:28.380Z,40.772,-112.0893333,9.28,12.034738,1.15
2020-05-19T03:59:42.010Z,40.725,-112.063,8.68,12.968484,-0.03
2020-05-19T03:37:18.180Z,40.7286667,-112.044,9.17,14.623936,0.3
2020-05-19T01:47:33.830Z,40.8456667,-111.9865,8.22,22.387048,0.86
2020-05-19T01:40:09.970Z,40.7521667,-112.0473333,8.5,14.963081,1.28
2020-05-19T01:27:40.250Z,40.751,-112.0478333,6.94,14.891624,1.53
2020-05-18T22:54:12.800Z,40.7423333,-112.085,6.39,11.615220,0.79
2020-05-18T18:18:12.710Z,40.7191667,-112.0191667,9.78,16.415305,1.01
2020-05-18T16:43:28.400Z,40.7383333,-112.074,9.39,12.413562,1.54
2020-05-18T16:19:59.450Z,40.7213333,-112.0165,9.44,16.690687,0.29
2020-05-18T16:02:48.090Z,40.7203333,-112.0181667,10.42,16.527795,0.53
2020-05-18T15:41:03.540Z,40.721,-112.0183333,8.86,16.531476,1.26
2020-05-18T11:59:39.940Z,40.7283333,-112.0686667,7.63,12.590282,0.76
2020-05-18T10:17:50.770Z,40.7381667,-112.0631667,9.61,13.298390,-0.06
2020-05-18T08:56:57.220Z,40.742,-112.0885,7.06,11.319269,0.06
2020-05-18T05:55:08.700Z,40.732,-112.0693333,7.6,12.631273,0.61
2020-05-17T23:55:15.270Z,40.7188333,-112.015,9.58,16.748763,0.27
2020-05-17T22:52:45.100Z,40.7285,-112.0751667,6.94,12.061052,0.08
2020-05-17T18:06:38.400Z,40.722,-112.0246667,9,16.037493,1.44
2020-05-17T18:04:16.030Z,40.7205,-112.0161667,9.27,16.696358,0.71
2020-05-17T17:29:52.240Z,40.7225,-112.0251667,9.22,16.009463,1.43
2020-05-17T14:22:23.470Z,40.7715,-112.0821667,9.47,12.609575,0.45
2020-05-17T13:40:59.180Z,40.7181667,-112.067,8.06,12.461755,0.32
2020-05-17T08:19:12.830Z,40.725,-112.081,9.87,11.490796,0.68
2020-05-17T01:08:23.410Z,40.7641667,-112.0721667,8.47,13.238472,0.39
